She walked slowly, step-by-step, along the narrow path.,She Walked Slowly, Step-by-step, along the Narrow Path.
The cat leaped up and caught the bird mid-air.,The Cat Leaped up and Caught the Bird Mid-air.
They sat down and enjoyed a picnic in the park.,They Sat down and Enjoyed a Picnic in the Park.
The child skipped rope with a big smile on her face.,The Child Skipped Rope with a Big Smile on Her Face.
The rain poured down, soaking everyone to the bone.,The Rain Poured down, Soaking Everyone to the Bone.
The dog wagged its tail happily, excited to see its owner.,The Dog Wagged Its Tail Happily, Excited to See Its Owner.
She looked left-and-right before crossing the busy street.,She Looked Left-and-right Before Crossing the Busy Street.
He jumped off the diving board and into the pool.,He Jumped off the Diving Board and into the Pool.
The bird flew over-the-moon, singing a melodious tune.,The Bird Flew Over-the-moon, Singing a Melodious Tune.
They hiked up the mountain, taking breaks along the way.,They Hiked up the Mountain, Taking Breaks along the Way.
She sat down beside her friend, sharing a secret.,She Sat down Beside Her Friend, Sharing a Secret.
The car sped past, leaving a trail of dust behind.,The Car Sped past, Leaving a Trail of Dust Behind.
He worked day-in-and-day-out to complete the project.,He Worked Day-in-and-day-out to Complete the Project.
The flowers bloomed bright-and-beautiful in the garden.,The Flowers Bloomed Bright-and-beautiful in the Garden.
She walked briskly, head held high.,She Walked Briskly, Head Held High.
The boat sailed out to sea, guided by the lighthouse.,The Boat Sailed out to Sea, Guided by the Lighthouse.
